id;model;optimizer;learning_rate;l2;batch_size;n_epochs;cv_score
32;"Sequential(
  (0): Linear(in_features=12, out_features=9, bias=True)
  (sigmoid1): Sigmoid()
  (output): Linear(in_features=9, out_features=1, bias=True)
)";RMSprop;0.0001;0.0001;25;25;4.82486
33;"Sequential(
  (0): Linear(in_features=12, out_features=2, bias=True)
  (relu1): ReLU()
  (output): Linear(in_features=2, out_features=1, bias=True)
)";Adam;0.0001;0.0001;5;1000;0.19362886
34;"Sequential(
  (0): Linear(in_features=12, out_features=3, bias=True)
  (sigmoid1): Sigmoid()
  (output): Linear(in_features=3, out_features=1, bias=True)
)";ASGD;0.001;0.001;20;25;4.309827
35;"Sequential(
  (0): Linear(in_features=12, out_features=9, bias=True)
  (linear): Linear(in_features=9, out_features=5, bias=True)
  (output): Linear(in_features=5, out_features=1, bias=True)
)";Adam;0.01;0.01;20;500;0.061554093
36;"Sequential(
  (0): Linear(in_features=12, out_features=1, bias=True)
  (output): Linear(in_features=1, out_features=1, bias=True)
)";Adadelta;0.01;0.001;5;75;3.8288662
37;"Sequential(
  (0): Linear(in_features=12, out_features=2, bias=True)
  (output): Linear(in_features=2, out_features=1, bias=True)
)";SGD;0.0001;0.0001;5;1000;0.058462046
38;"Sequential(
  (0): Linear(in_features=12, out_features=8, bias=True)
  (sigmoid1): Sigmoid()
  (output): Linear(in_features=8, out_features=1, bias=True)
)";Adam;0.01;0.0;25;75;0.06470017
39;"Sequential(
  (0): Linear(in_features=12, out_features=2, bias=True)
  (relu1): ReLU()
  (output): Linear(in_features=2, out_features=1, bias=True)
)";RMSprop;0.01;0.01;15;100;0.12432227
40;"Sequential(
  (0): Linear(in_features=12, out_features=6, bias=True)
  (sigmoid1): Sigmoid()
  (output): Linear(in_features=6, out_features=1, bias=True)
)";SGD;0.01;0.0001;5;25;0.06268621
41;"Sequential(
  (0): Linear(in_features=12, out_features=10, bias=True)
  (relu1): ReLU()
  (output): Linear(in_features=10, out_features=1, bias=True)
)";Adadelta;0.001;0.0001;25;75;4.884992
42;"Sequential(
  (0): Linear(in_features=12, out_features=2, bias=True)
  (linear): Linear(in_features=2, out_features=1, bias=True)
  (sigmoid2): Sigmoid()
  (output): Linear(in_features=1, out_features=1, bias=True)
)";Adadelta;0.01;0.1;5;1000;0.06161796
43;"Sequential(
  (0): Linear(in_features=12, out_features=9, bias=True)
  (relu1): ReLU()
  (output): Linear(in_features=9, out_features=1, bias=True)
)";Adam;0.001;0.1;5;50;0.083820686
44;"Sequential(
  (0): Linear(in_features=12, out_features=5, bias=True)
  (linear): Linear(in_features=5, out_features=2, bias=True)
  (output): Linear(in_features=2, out_features=1, bias=True)
)";Adam;0.01;0.1;15;50;0.10937228
45;"Sequential(
  (0): Linear(in_features=12, out_features=1, bias=True)
  (output): Linear(in_features=1, out_features=1, bias=True)
)";Adam;0.001;0.0001;25;100;0.93545425
46;"Sequential(
  (0): Linear(in_features=12, out_features=1, bias=True)
  (sigmoid1): Sigmoid()
  (output): Linear(in_features=1, out_features=1, bias=True)
)";RMSprop;0.1;0.01;10;250;0.12796713
47;"Sequential(
  (0): Linear(in_features=12, out_features=8, bias=True)
  (sigmoid1): Sigmoid()
  (output): Linear(in_features=8, out_features=1, bias=True)
)";Adam;0.01;0.0;25;100;0.06705457
48;"Sequential(
  (0): Linear(in_features=12, out_features=10, bias=True)
  (relu1): ReLU()
  (output): Linear(in_features=10, out_features=1, bias=True)
)";Adadelta;0.001;0.01;20;50;4.908929
49;"Sequential(
  (0): Linear(in_features=12, out_features=7, bias=True)
  (sigmoid1): Sigmoid()
  (output): Linear(in_features=7, out_features=1, bias=True)
)";Adadelta;0.001;0.0001;15;50;4.806495
